"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating an Open Learner Model Visualisation Prototype Tool with User eXperience Metrics","L. C. Yee; J. Grundy; K. v. Baggo; A. Cain; R. Vasa","Multimedia University, Melaka, Melaka, MY; School of Information Technology, Monash University, Melbourne, Australia; Fac. of Sci., Eng. & Technol., Swinburne Univ. of Technol., Melbourne, VIC, Australia; Faculty of Science, Engineering and Technology, Swinburne University of Technology, Melbourne, Australia; Applied Artificial Intelligence Institute, Deakin University, Geelong, Australia","2018 25th Australasian Software Engineering Conference (ASWEC)","27 Dec 2018","2018","","","51","60","Learning management systems (LMS) are widely used in many educational environments. Although usability is widely acknowledged as a desired quality attribute, it has not been deeply investigated in the context of LMS systems where it has to align with pedagogy. In this research we evaluate extensions to an LMS designed to support the implementation of constructive alignment for technical units using a Task-Oriented Portfolio approach. The LMS application was extended with a range of open learner model-based visualisations to help staff and students monitor progress towards achieving unit intended learning outcomes throughout unit delivery. This paper reports on a case study of a formative usability testing of the prototype tool by using User eXperience (UX) metrics. The results unveil the potential usability issues and ways to improve the design of the prototype tool to better cater the actual target user needs.","2377-5408","978-1-7281-1241-1","10.1109/ASWEC.2018.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8587286","software development;educational software;prototype tool;outcome based learning;constructive alignment;open learner model;visualisation;formative usability testing;user experience metrics;Pearson correlation","Software engineering;Erbium","data visualisation;learning management systems;user interfaces","potential usability issues;open learner model visualisation prototype tool;user experience metrics;learning management systems;educational environments;LMS systems;LMS application;open learner model-based visualisations;formative usability testing;quality attribute;UX metrics;task-oriented portfolio approach","","1","","24","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
"Training Time Optimization through Adaptive Learning Strategy","A. Pagano; A. Marengo","Dipartimento di Economia e Finanza, Universitá degli Studi di Bari Aldo Moro, Bari, Italy; Dipartimento di Economia e Finanza, Universitá degli Studi di Bari Aldo Moro, Bari, Italy","2021 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)","4 Nov 2021","2021","","","563","567","Digital Learning is rapidly evolving and adapting to new learning needs. In every field of daily life, training is a fundamental asset to achieve any goals. Modern e-learning systems aim to make learning quick and effective. The training courses are often delivered sequentially, and there is a high waste of time since learners must attend lessons on topics they already master. This research aims to demonstrate that an Adaptive Learning Strategy can optimize training by drastically reducing the throughput time of the learning path, avoiding time-wasting, and maintaining a high level of learner engagement. Those goals will be reached using a learning management system platform and an adaptive learning algorithm on a modular course to build up and deliver personalized learning paths, recognizing the prior knowledge of each user. Adaptive Learning Strategy allows the learner to optimize his/her training achieving the learning goals in a shorter time. He/she will not have to attend topics he already demonstrates to have a complete knowledge level.","","978-1-6654-4032-5","10.1109/3ICT53449.2021.9582096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582096","adaptive learning;personalized learning;intelligent learning system;learning paths optimization;learner modeling","Training;Adaptive learning;Technological innovation;Learning management systems;Electronic learning;Adaptive systems;Computational modeling","computer aided instruction","time optimization;digital learning;modern e-learning systems;training courses;learning path;learning management system;adaptive learning;learning goals;knowledge level","","6","","21","IEEE","4 Nov 2021","","","IEEE","IEEE Conferences"
"Introversion and the implication of intelligent tutoring systems: a lesson from Arab students","A. Al-Dujaily; H. Ryu; Kamal","Institute of Information and Mathematical Science, Massey University, Auckland, New Zealand; Institute of Information and Mathematical Science, Massey University, Auckland, New Zealand; Institute of Information and Mathematical Science, Massey University, Auckland, New Zealand","Fifth IEEE International Conference on Advanced Learning Technologies (ICALT'05)","19 Sep 2005","2005","","","993","994","It is believed that a student model is the fundamental component in an intelligent tutoring system that captures and maintains information about the student. Most work on student models describes the student's understanding of any domain. A few works were done on studying student's individual features; however, little has been investigated on personality features due to the difficulty of encompassing all the different personality features. In this context, this paper aims to answer what personal characteristics of Arab students might contribute to this problem. A study using MBTI questionnaire model was conducted in at Dhofar University in Oman to understand Arab student's personality features.","2161-377X","0-7695-2338-2","10.1109/ICALT.2005.180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508878","","Intelligent systems;Samarium;Testing;Education;Concrete;Mathematical model;Psychology;Cultural differences;Logic;Decision making","intelligent tutoring systems;user modelling;psychology","introversion;intelligent tutoring systems;Arab students;student model;student information;student personality features;MBTI questionnaire model;Dhofar University;Oman","","2","","6","IEEE","19 Sep 2005","","","IEEE","IEEE Conferences"
"Learned Model Composition With Critical Sample Look-Ahead for Semi-Supervised Learning on Small Sets of Labeled Samples","Y. Li; S. Kan; C. Wenming; Z. He","Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; School of Information Engineering, Shenzhen University, Shenzhen, China; Department of Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA","IEEE Transactions on Circuits and Systems for Video Technology","2 Sep 2021","2021","31","9","3444","3455","In this work, we propose to push the performance limit of semi-supervised learning on very small sets of labeled samples by developing a new method called learned model composition with critical sample look-ahead (LMCS). Training efficient deep neural networks on much smaller sets of labeled samples is a challenging problem. With a small labeled set, the initial network suffers from low accuracy. Based on this error-prone network, the subsequent semi-supervised learning process will be fragile and unstable. To address this issue, we propose to introduce a look-ahead master model to identify the correct direction of model evolution to effectively guide the semi-supervised learning process of the student model. Specifically, our proposed LMCS method explores two major ideas. First, it introduces a new learned model composition structure so that we can compose a more efficient master network from student models of past iterations through a network learning process. Second, we develop a new method, called confined maximum entropy search, to discover new critical samples near the model decision boundary and provide the master model with look-ahead access to these samples to enhance its guidance capability. Our extensive experimental results demonstrate that the proposed LMCS method outperforms the state-of-the-art semi-supervised learning methods, especially on small sets of labeled samples. For example, on the CIFAR-10 dataset, with a very small set of 80 labeled samples, our method outperforms Google’s MixMatch method, reducing the error rate by more than 10%.","1558-2205","","10.1109/TCSVT.2020.3038663","National Science Foundation(grant numbers:U.S. Ignite 1647213,CPS 1646065); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261608","Semi-supervised learning;image classification;deep learning","Semisupervised learning;Predictive models;Training;Entropy;Task analysis;Integrated circuit modeling;Data models","maximum entropy methods;neural nets;supervised learning","LMCS method;learned model composition structure;master network;student model;network learning process;model decision boundary;critical sample look-ahead;deep neural network training;error-prone network;semisupervised learning process;look-ahead master model;model evolution;labeled sample small set;confined maximum entropy search;CIFAR-10 dataset","","5","","42","IEEE","17 Nov 2020","","","IEEE","IEEE Journals"
"An online adaptive tutoring system for design-centric courses","Y. Lian","Department of Electrical and Computer Engineering, National University of Singapore, Singapore","2011 IEEE International Symposium of Circuits and Systems (ISCAS)","4 Jul 2011","2011","","","1191","1194","An adaptive teaching strategy can be defined as an optimal instruction that effectively meets the individual needs and is conveyed toward a student's different aptitude i.e., intellectual abilities, personalities, and cognitive styles of learning. It is widely adopted in teaching students with disabilities. The adaptive teaching pedagogy exploits interactions between learners and educator and is one of the best strategies to meet the different learning styles of individual student. The adaptive teaching creates a teaching and learning environment that improves the learning efficiency. This paper presents an online adaptive tutoring system (ATS) that is aimed at alleviating some of the problems that are faced by large class teaching. The ATS represents a knowledge domain as a concept structure and models the student with Bayesian networks. Based on the Bayesian student model, the tutoring system provides individualized tutoring and instant feedback to each student. The system has been applied in teaching digital circuit design in the Department of Electrical and Computer Engineering of National University of Singapore. The survey conducted indicates the effectiveness of the proposed ATS-based teaching strategy.","2158-1525","978-1-4244-9474-3","10.1109/ISCAS.2011.5937782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5937782","","Education;Learning systems;Materials;Adaptation model;Adaptive systems;Bayesian methods","belief networks;intelligent tutoring systems;teaching","online adaptive tutoring system;design-centric courses;adaptive teaching strategy;Bayesian student model;National University of Singapore;Department of Electrical and Computer Engineering;ATS-based teaching strategy","","1","","18","IEEE","4 Jul 2011","","","IEEE","IEEE Conferences"
"Comparing LMS and AEHS: Challenges for Improvement with Exploitation of Data Mining","I. Karagiannis; M. Satratzemi","Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","65","66","E-learning systems can be divided in two categories according to the personalization level they offer. LMS and AEHS are representative systems of the above categories. LMS have more capabilities than AEHS but, on the other hand, AEHS consider student's differences and offer personalized learning to achieve better results. Our research findings led us to embed adaptivity techniques in Moodle, with adoption of a hybrid dynamic user model, which is built with techniques that are based both upon knowledge and behaviour of learner.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901400","AEHS;LMS;distance education;educational systems;e-learning;educational data mining;learning styles;adaptivity;dynamic student modelling","Adaptation models;Data mining;Least squares approximations;Adaptive systems;Data models;Heuristic algorithms;Electronic learning","data mining;hypermedia;learning management systems","LMS;AEHS;learning management systems;adaptive educational hypermedia systems;data mining;e-learning systems;electronic learning systems;Moodle;hybrid dynamic user model;learner knowledge;learner behavior","","5","","4","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Learner agents as student modeling: design and analysis","T. Limoanco; R. Sison","College of Computer Studies, De La Salle University-Professional Schools, Inc., Philippines; College of Computer Studies, De La Salle University-Professional Schools, Inc., Philippines","Proceedings 3rd IEEE International Conference on Advanced Technologies","28 Jul 2003","2003","","","440","","Educational systems such as intelligent tutoring systems (ITSs) are computer programs that provide customized and adaptive learning according to learner's needs, behavior, and learning situation. Most implementations of these systems are built from scratch and are set to tackle a specific domain or a programming concept (e.g. Johnson, 1990). As a result, ITSs limit the use of learner's profile in one tutoring system. We propose a learner agent concept that allows a profile to encompass multiple learning activities. We discuss how the learner agent is used as the student model of an ITS. We also focus on how the learner agent collects and stores information into this profile.","","0-7695-1967-9","10.1109/ICALT.2003.1215163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1215163","","Learning;Educational institutions;Scalability;Ontologies;Intelligent systems;Intelligent agent;Programming profession;Software agents;Humans;Context","intelligent tutoring systems;software agents;user modelling;learning (artificial intelligence)","learner agents;student modelling;educational systems;ITS;intelligent tutoring systems;computer programs;adaptive learning","","1","","3","IEEE","28 Jul 2003","","","IEEE","IEEE Conferences"
"Towards a Conceptual Model for a Smart Open learning environment based on Computational Thinking","B. Fradi; L. Cheniti-Belcadhi","ISITC, PRINCE Research Laboratory, Sousse University, H-Sousse, Tunisia; ISITC, PRINCE Research Laboratory, Sousse University, H-Sousse, Tunisia","2022 IEEE Global Engineering Education Conference (EDUCON)","11 May 2022","2022","","","1981","1987","Currently, there is a daily evolution of the world and our current digital society faces challenges for changing the environment. Currently, learning environments are undergoing an evolution due the increasing development of mobile technologies. Designing and implementing Smart Learning Environments (SLEs) has emerged to enhance the learning process and the creation of content. In this paper, we are interested on SLE. Our objective is to propose a new pedagogical approach to provide adaptive and personalized open learning based on Computational Thinking (CT). This contribution describes the main theoretical relationships between SLE, Open Learner Model, Open Education Resource, Open Practice and Open Pedagogy when developing SLE to promote the learning process. New pedagogical approaches, based on openness, need to be implemented. The goal is to orchestrate between different features of SLE in order to propose a Smart Open Learning Environment (SOLE). We focus in particular on the pedagogical scenario that will be deployed in a Smart Open Learning Environment (SOLE). The proposed scenario is promoted by Smart Open Pedagogy to enhance CT. We aim to deliver open assessment adapted to specific learner context profile, progress and CT’s Level in the learning.","2165-9567","978-1-6654-4434-7","10.1109/EDUCON52537.2022.9766625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766625","SLE;Open Pedagogy;Smart Pedagogy;Computational thinking;Open Education Resource;Open Assessment;Adaptive Self-regulated Learning","Adaptation models;Computational modeling;Conferences;Engineering education;Faces","computer aided instruction","open assessment;computational thinking;current digital society;learning environments;learning process;SLE;open learner model;open education resource;open practice;smart open learning environment;smart open pedagogy;SOLE","","","","29","IEEE","11 May 2022","","","IEEE","IEEE Conferences"
"Facial expression analysis for estimating learner's emotional state in intelligent tutoring systems","A. Sarrafzadeh; H. G. Hosseini; C. Fan; S. P. Overmyer","Institute of Information and Mathematical Sciences, Massey University, Auckland, New Zealand; Electrotechnology Department., Auckland University of Technology, Auckland, New Zealand; Institute of Information and Mathematical Sciences, Massey University, Auckland, New Zealand; Institute of Information and Mathematical Sciences, Massey University, Auckland, New Zealand","Proceedings 3rd IEEE International Conference on Advanced Technologies","28 Jul 2003","2003","","","336","337","Intelligent tutoring systems (ITS) provide individualized instruction. They offer many advantages over the traditional classroom scenario: they are always available, nonjudgmental and provide tailored feedback resulting in increased and effective learning. However, they are still not as effective as one-on-one human tutoring. The next generation of intelligent tutors is expected to be able to take into account the cognitive and emotional state of students. We present a proposed contribution of affect to student modeling, and reports on the progress made in the development of a facial expression analysis component for intelligent tutoring systems.","","0-7695-1967-9","10.1109/ICALT.2003.1215111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1215111","","State estimation;Intelligent systems;Face detection;Humans;Feedback;Heart beat;Tracking;Cameras;Image analysis;Chaos","intelligent tutoring systems;human computer interaction;emotion recognition;user modelling","intelligent tutoring system;ITS;facial expression analysis;student modeling;learners emotion;emotional state estimation;individualized instruction;tailored feedback","","12","","14","IEEE","28 Jul 2003","","","IEEE","IEEE Conferences"
"Causal Analysis of On-line Math Tutoring Impact on Low-income High School Students Using Bayesian Logistic and Beta Regressions","M. Alhossaini; M. Aloqeely","Department of Computer Science, King Saud University, Riyadh, Saudi Arabia; Takaful Foundation, Riyadh, Saudi Arabia","2021 IEEE Symposium Series on Computational Intelligence (SSCI)","24 Jan 2022","2021","","","1","10","The use of on-line tutoring, especially after the COVID-19 pandemic, has increased dramatically. It has become clear that measuring the effectiveness of on-line tutoring, especially on low-income students, is much needed in such difficult times. This paper, which is based on observational data collected before the COVID-19 era, is targeting measuring the impact of a web-based math tutoring program, Noon Academy, on the academic achievement of low-income high school students (grades 10 to 12) in Saudi Arabia. We use a large amount of data collected in a student registration process and two Bayesian generalized linear models (GLM) to measure the tutoring causal effects. Model 1 uses a binomial logistic regression to predict the impact of enrolling in the tutoring program on the rate of passing in a number of students. Model 2 uses a multi-level Beta regression to measure the impact of the number of minutes on the total mark. Model 1 results show that giving math tutoring to higher-failing-risk students significantly improves the rate of passing by +5 %, reaching a maximum of + 17.15 % in some classes of students. Model 2 shows a significant positive impact of the number of tutoring minutes on the yearly math mark (max of 100), reaching an average of +3.52 marks for the highest number of minutes taken. The paper presents an application of a causal analysis approaches on a real-life social problem. It demonstrates how the model is used to obtain a measure of the impact with quantifiable uncertainty that can be used in practice.","","978-1-7281-9048-8","10.1109/SSCI50451.2021.9660176","The Deanship of Scientific Research at King Saud University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660176","big data;causal impact;bayesian inference;social impact;on-line tutoring;low income students","COVID-19;Uncertainty;Pandemics;Sociology;Measurement uncertainty;Organizations;Predictive models","Bayes methods;educational administrative data processing;epidemics;intelligent tutoring systems;Internet;mathematics computing;regression analysis","higher-failing-risk students;causal analysis;low-income high school students;online tutoring;COVID-19 pandemic;student registration process;generalized linear models;tutoring causal effects;binomial logistic regression;Web-based math tutoring program;online math;multilevel beta regression","","","","24","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"Design pattern ITS: student model implementation","Z. Jeremic; V. Devedzic","FON-School of Business Administration, University of Belgrade, Belgrade, Serbia; FON-School of Business Administration, University of Belgrade, Belgrade, Serbia","IEEE International Conference on Advanced Learning Technologies, 2004. Proceedings.","22 Nov 2004","2004","","","864","865","The paper presents implementation of the student model in the design pattern intelligent tutoring system. The student model is created by using a model template which is filled in with new attribute values. The same principle can be applied to other ITS as well.","","0-7695-2181-9","10.1109/ICALT.2004.1357693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357693","","Education;XML;Intelligent systems;Graphical user interfaces;Tellurium;Books;Java;Expert systems;Engines;Control systems","intelligent tutoring systems;object-oriented programming;user modelling","design pattern ITS;student model;intelligent tutoring system;design pattern learning","","10","","4","IEEE","22 Nov 2004","","","IEEE","IEEE Conferences"
"Improving Students Skills to Solve Elementary Equations in K-12 Programs Using an Intelligent Tutoring System","A. M. M. Lopes; J. F. d. M. Netto; R. A. L. de Souza; A. B. Mourão; T. O. Almeida; D. P. R. de Lima","Post-Graduate Program in Informatics (PPGI), Institute of Computing (IComp), Federal University of Amazonas (UFAM), Manaus, AM, Brazil; Post-Graduate Program in Informatics (PPGI), Institute of Computing (IComp), Federal University of Amazonas (UFAM), Manaus, AM, Brazil; Institute of Exact Sciences (ICE), Federal University of Amazonas (UFAM), Manaus, AM, Brazil; University of State of Amazonas (UEA), Post-Graduate Program in Informatics (PPGI), Institute of Computing (IComp), Federal University of Amazonas (UFAM), Manaus, AM, Brazil; Department of Science Computer, Federal University of Roraima, Boa Vista, RR, Brazil; Post-Graduate Program in Informatics (PPGI), Institute of Computing (IComp), Federal University of Amazonas (UFAM), Manaus, AM, Brazil","2019 IEEE Frontiers in Education Conference (FIE)","12 Mar 2020","2019","","","1","9","This full paper of research to practice category describes an experiment using an Intelligent Tutoring System to support teaching and learning that evolve solutions of first-degree equations. The difficulties encountered in solving algebra problems can make students consider math and related science a difficult task. We propose a Tutor to promote the learning of this class of problems. In this article, we describe the functioning and architecture of the tutor composed by the Interface, Student Model, Tutorial Strategies and Domain Model. Also, a Virtual Assistant was included to motivate students in the learning process. The tutoring strategies that comprise the tutor are projected from models found in the literature. To approximate the interactions of the tutor with the actions of the teachers, Lev Vygotsky's Concept of Zone Proximal Development was used. The methodology used in this project was the case study applied in a real-life context, obtaining a combination of quantitative and qualitative evidence about technical and pedagogical usability that show the degree of satisfaction of the students regarding the proposed approach.","2377-634X","978-1-7281-1746-1","10.1109/FIE43999.2019.9028363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028363","Intelligent Tutoring System;Learning Algebra","Education;Mathematical model;Informatics;Abstract algebra;Cognition","human factors;intelligent tutoring systems;teaching","first-degree equations;algebra problems;student model;domain model;learning process;tutoring strategies;students skills;elementary equations;K-12 programs;intelligent tutoring system;virtual assistant;Lev Vygotsky's concept;zone proximal development","","6","","24","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Data Mining Methods to Assess Student Behavior in Adaptive e-Learning Processes","A. Marengo; A. Pagano; A. Barbone","Dept. of Economics and Mathematics (DEM), University of Bari “Aldo Moro”, Bari, Italy; Dept. of Economics and Mathematics (DEM), University of Bari “Aldo Moro”, Bari, Italy; Osel Consulting - Spin Off Company of the, University of Bari “Aldo Moro”, Bari, Italy","2013 Fourth International Conference on e-Learning "Best Practices in Management, Design and Development of e-Courses: Standards of Excellence and Creativity"","20 Feb 2014","2013","","","303","309","How could data mining help the development of e-learning methodologies? How could an instructional designer take benefit from the use of adaptive learning? How could adaptive learning be implemented in an Open Source platform? In this paper will be described the implementation of adaptivity technology in a specific, Open Source, Learning Management System (LMS). After a preliminary study about the adaptive features already built-in and the capabilities ready to perform a suitable student modeling, the research team extended those capabilities with a specific data model, student model and tutoring engine to perform automatic monitoring and sequencing of Learning Objects for each particular learner. The future implementation of this project is related to testing activities in order to prove the efficiency method in content and course delivery. This paper describes some best practices developed during a Tempus IV Project granted by EU.","","978-0-7695-5036-7","10.1109/ECONF.2013.60","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6745564","Data Mining;Predicting;Adaptive;Learning Styles Activity locking;e-learning;learning management system;Open Source;student modeling","Adaptation models;Data mining;Least squares approximations;Adaptive systems;Data models;Educational institutions","behavioural sciences;data mining;data models;educational courses;learning management systems;public domain software;user modelling","student behavior assessment;adaptive e-learning processes;data mining;e-learning methodologies;instructional designer;open source platform;adaptivity technology;learning management system;LMS;student modeling;data model;tutoring engine;learning objects automatic monitoring;learning objects sequencing;testing activities;content delivery;course delivery;Tempus IV project","","6","","27","IEEE","20 Feb 2014","","","IEEE","IEEE Conferences"
"Roles for mobile learner models","S. Bull; Yanchun Cui; A. T. McEvoy; E. Reid; Wei Yang","Electronic, Electrical and Computer Engineering, University of Binningham, Birmingham, UK; Electronic, Electrical and Computer Engineering, University of Binningham, Birmingham, UK; Electronic, Electrical and Computer Engineering, University of Binningham, Birmingham, UK; Electronic, Electrical and Computer Engineering, University of Binningham, Birmingham, UK; Electronic, Electrical and Computer Engineering, University of Binningham, Birmingham, UK","The 2nd IEEE International Workshop on Wireless and Mobile Technologies in Education, 2004. Proceedings.","24 Aug 2004","2004","","","124","128","This paper discusses uses for learner models in mobile adaptive learning environments, focusing on how different learner modeling issues and attributes may be relevant in a mobile learning context. These issues are illustrated by four simple systems. More complex environments can be built according to the principles illustrated in these initial implementations.","","0-7695-1989-X","10.1109/WMTE.2004.1281352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1281352","","Mobile computing;Handheld computers;Context modeling;Intelligent systems;Geometry;Personal communication networks;Programming profession;Databases;Collaboration;Collaborative work","intelligent tutoring systems;mobile computing","mobile learner models;mobile adaptive learning environments;mobile intelligent tutoring systems","","12","","6","IEEE","24 Aug 2004","","","IEEE","IEEE Conferences"
"A conceptual framework for Web-based intelligent learning environments using SCORM-2004","Sabbir Ahmed Kazi","Department of Educational and Staff Development, Singapore polytechnics, Singapore","IEEE International Conference on Advanced Learning Technologies, 2004. Proceedings.","22 Nov 2004","2004","","","12","15","Having a functional Web-based learning environment is a norm for a large number of educational institutions today. But publishing plain e-learning materials in this environment does not contribute significantly to student's learning unless a sound pedagogical framework is adopted behind this process. Substantial researches have been done in the area of adaptive and intelligent tutoring systems to develop Web-based intelligent learning environments (WILE) where the student's current knowledge about the subject matter is stored in a student model database and therefore the materials are presented according to the student's learning need. In most cases, contents are an intrinsic part of these kind of learning environments, and difficult to port to another environment in the case of reuse. This paper introduces a framework to develop dynamic content for a SCORM-conformant Web-based intelligent learning environment that can be ported to another similar kind of learning environment.","","0-7695-2181-9","10.1109/ICALT.2004.1357365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357365","","Artificial intelligence;Education;Intelligent systems;Educational institutions;Electronic learning;Deductive databases;Internet;Educational technology;Costs;Publishing","intelligent tutoring systems;Internet;adaptive systems;teaching;standards","Web-based intelligent learning environments;SCORM-2004;educational institutions;e-learning materials;student learning;pedagogical framework;adaptive systems;intelligent tutoring systems;subject matter;conceptual framework","","20","","18","IEEE","22 Nov 2004","","","IEEE","IEEE Conferences"
"The Effect of a Robot’s Gestures and Adaptive Tutoring on Children’s Acquisition of Second Language Vocabularies","J. de Wit; T. Schodde; B. Willemsen; K. Bergmann; M. de Haas; S. Kopp; E. Krahmer; P. Vogt","TiCC Tilburg University; Faculty of Technology, CITEC Bielefeld University; TiCC Tilburg University; Faculty of Technology, CITEC Bielefeld University; TiCC Tilburg University; Faculty of Technology, CITEC Bielefeld University; TiCC Tilburg University; TiCC Tilburg University","2018 13th ACM/IEEE International Conference on Human-Robot Interaction (HRI)","8 Jul 2021","2018","","","50","58","This paper presents a study in which children, four to six years old, were taught words in a second language by a robot tutor. The goal is to evaluate two ways for a robot to provide scaffolding for students: the use of iconic gestures, combined with adaptively choosing the next learning task based on the child’s past performance. The results show a positive effect on long-term memorization of novel words, and an overall higher level of engagement during the learning activities when gestures are used. The adaptive tutoring strategy reduces the extent to which the level of engagement is diminishing during the later part of the interaction.","2167-2148","978-1-4503-4953-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9473895","Language tutoring;Robotics;Education;Human-Robot Interaction;Bayesian Knowledge Tracing;Non-verbal communication","Vocabulary;Humanoid robots;Human-robot interaction;Tools;Task analysis","","","","","","32","","8 Jul 2021","","","IEEE","IEEE Conferences"
"A probabilistic relational student model for virtual laboratories","J. Noguez; L. E. Sucar","Departamento de Ciencias Computacionales, Tecnológico de Monterrey, Mexicali, Mexico; Departamento de Computación, Tecnológico de Monterrey, Morelos, Mexico","Sixth Mexican International Conference on Computer Science (ENC'05)","13 Feb 2006","2005","","","2","9","We have developed an intelligent tutoring system coupled with a virtual laboratory, which constitute a semi-open learning environment. This environment provides the student with the opportunity to learn through exploration within a virtual laboratory, while achieving the expected learning objectives. The key element of this environment is a novel representation for the student model based on probabilistic relational models. This student model has several advantages: flexibility, user adaptability, high modularity and facilities for model construction for different scenarios. The model keeps track of the students' knowledge at different levels of granularity, combining the performance and exploration behavior in several experiments, to decide the best way to guide the student in following experiments, and to re-categorize the students based on the results. We have implemented a tutor for a virtual robotics laboratory, and evaluated the system with an initial group of 20 students. The results show that students who explore the virtual environment with the help of the tutor have a better academic skills, and also that the predictions of the student model are generally accurate.","2332-5712","0-7695-2454-0","10.1109/ENC.2005.7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592194","","Laboratories;Power system modeling;Intelligent systems;Robot sensing systems;Mobile robots;Buildings;Intelligent sensors;Intelligent robots;Modular construction;Virtual environment","intelligent tutoring systems;probability;student experiments;virtual reality","probabilistic relational student model;intelligent tutoring system;semiopen learning environment;virtual robotics laboratory;academic skill","","11","1","19","IEEE","13 Feb 2006","","","IEEE","IEEE Conferences"
"FSP Creator: A Novel Web Service API Creator of Fuzzy Students Progress Profile","S. Papadimitriou; K. Chrysafiadi; M. Kamitsios; M. Virvou","Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece","2018 9th International Conference on Information, Intelligence, Systems and Applications (IISA)","3 Feb 2019","2018","","","1","7","Nowadays, intelligent and expert systems and applications have become a burning issue. In the scientific literature, it seems to be of particular interest to provide educational applications and systems with “intelligence”, in order to be able to adapt either the learning material or the tutoring and learning processes to each individual student's needs. The module of student model is crucial for offering a personalized learning experience to each particular student. Student modeling has been introduced in Intelligent Tutoring Systems (ITS), but it's use has been extended to most current educational software applications that aim to be adaptive and personalized. Student modeling is able to highlight students individual needs, learning characteristics, knowledge level, errors or misconceptions etc. However, building a student model is a complex process. In this paper, a novel web service API, which creates platform-independent and technological-independent student models using the technology of web services, is presented. The presented API is called FSP Creator. Its innovative operation relies on the facts that the created student profile i) can be embedded in any educational application (web, mobile, game), regardless of the system's technological characteristics or programming language, ii) can be recognized by all the different applications that use it and call the same web services. Furthermore, the created student profile is based on fuzzy logic sets that are used by a Fuzzy Rule System incorporated in FSP Creator and used for selecting the appropriate learning material and exercises. However, each application that uses the created student profile can extend the fuzzy rule set or use its own fuzzy rule set as desired. For the description of the operations of FSP Creator, we have used three different educational applications (two games and one web-based educational application) that have used the fuzzy student profile, which has been created by the presented API.","","978-1-5386-8161-9","10.1109/IISA.2018.8633662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8633662","intelligent tutoring systems;fuzzy logic;web services;student modeling","Web services;Adaptation models;Games;Fuzzy logic;Education;Fuzzy sets;Adaptive systems","application program interfaces;expert systems;fuzzy logic;intelligent tutoring systems;Web services","fuzzy rule system;educational software applications;fuzzy students progress profile;Web service API Creator;intelligent tutoring systems;learning material;technological-independent student models;student modeling;personalized learning experience;learning processes;expert systems;intelligent systems;web-based educational application;fuzzy rule set;FSP Creator","","2","","17","IEEE","3 Feb 2019","","","IEEE","IEEE Conferences"
