Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"PREFACE.","Lester, James C.; Vicari, Rosa Maria; Paraguaçu, Fábio","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2006","16","2","99","2","21506032",,"IOS Press","Article","Tutors & tutoring; Prefaces & forewords",,"Discusses various reports published within the issue, including on one meta-cognitive tutoring and knowledge tracing.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=21506032&site=ehost-live&scope=site"
"Using Knowledge Tracing in a Noisy Environment to Measure Student Reading Proficiencies.","Beck, Joseph E.; Sison, June","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2006","16","2","129","15","21506030",,"IOS Press","Article","Tutors & tutoring; Students; Reading; Teaching; Research","automated speech recognition; evaluation; Student modeling","Constructing a student model for language tutors is a challenging task. This paper describes using knowledge tracing to construct a student model of reading proficiency and validates the model. We use speech recognition to assess a student's reading proficiency at a subword level, even though the speech recognizer output is at the level of words and is statistically noisy. Specifically, we estimate the student's knowledge of 80 letter to sound mappings, such as ch making the sound /K/ in ""chemistry."" At a coarse level, the student model did a better job at estimating reading proficiency for 47.2% of the students than did a standardized test designed for the task. Although not quite as strong as the standardized test, our assessment method can provide a report on the student at any time during the year and requires no break from reading to administer. Our model's estimate of the student's knowledge on individual letter to sound mappings is a significant predictor of whether he will ask for help on a particular word. Thus, our student model is able to describe student performance both at a coarse- and at a fine-grain size. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=21506030&site=ehost-live&scope=site"
"Erratum.","Spector, J. Michael","Educational Technology Research & Development",="10421629",,="2006","54","4","439","1","23261790","10.1007/s11423-006-9611-3","Springer Nature","Correction Notice","INSTRUCTIONAL systems design",,"The article provides a correction for the article ""Student Models of Instructional Design,"" by S. Magliaro and N. Shambaugh.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=23261790&site=ehost-live&scope=site"
"Changing morning report: evaluation of a transition to an interactive mixed-learner format in an internal medicine residency program.","West CP; Kolars JC; Eggert CH; Kennedy CC; Ficalora RD","Teaching and learning in medicine",="1040-1334",,="2006 Fall","18","4","330",,"17144839","10.1207/s15328015tlm1804_10","Routledge","Journal Article","Minnesota; Communication; Internal Medicine education; Internship and Residency; Problem-Based Learning methods; Data Collection; Humans; Minnesota; Students, Medical psychology",,"Background: Morning report is an important conference for medical education, but direct comparisons of approaches to morning report have only rarely been reported. Description: During the 2003 to 2004 academic year, we conducted both our traditional single-learner-level morning report and a new highly interactive multiple-learner-level format. Attendees were rotating students, residents, and faculty on the inpatient general medicine services. Evaluation: We conducted anonymous surveys of participants to record their evaluations of the morning report formats. We received evaluations from 293 (60%) of 490 students, residents, and faculty. Students, 1st-year residents, and faculty preferred the mixed-learner model significantly more than did senior residents. Overall, more than 80% of participants rated the interactive multilevel format as good or very good when asked about content, discussion quality, level, and usefulness. Conclusions: An interactive morning report involving learners across multiple levels was well-received and has several educational benefits, with a greater emphasis on collaborative case discussion and active learning. Education leaders should remain open to experimenting with even the most well-established institutional traditions as they continuously reevaluate the effectiveness of teaching conferences.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=17144839&site=ehost-live&scope=site"
"The Behavior of Tutoring Systems.","VanLehn, Kurt","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Oct2006","16","3","227","39","22308861",,"IOS Press","Article","Intelligent tutoring systems; Artificial intelligence; Educational technology; Tutors & tutoring; Behavioral assessment","knowledge components; learning events; tutoring","Tutoring systems are described as having two loops. The outer loop executes once for each task, where a task usually consists of solving a complex, multi-step problem. The inner loop executes once for each step taken by the student in the solution of a task. The inner loop can give feedback and hints on each step. The inner loop can also assess the student's evolving competence and update a student model, which is used by the outer loop to select a next task that is appropriate for the student. For those who know little about tutoring systems, this description is meant as a demystifying introduction. For tutoring system experts, this description illustrates that although tutoring systems differ widely in their task domains, user interfaces, software structures, knowledge bases, etc., their behaviors are in fact quite similar. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=22308861&site=ehost-live&scope=site"
"Intelligent agent supported personalization for virtual learning environments","Xu, Dongming; Wang, Huaiqing","Decision Support Systems",="01679236",,="Nov2006","42","2","825","19","22716303","10.1016/j.dss.2005.05.033","Elsevier B.V.","Article","Online information services; Artificial intelligence; Computer architecture; Internet in education","Artificial intelligence application; eLearning; Intelligent agents; Personalization; Virtual learning environment","Abstract: Virtual learning environments (VLEs) are computer-based online learning environments, which provide opportunities for online learners to learn at the time and location of their choosing, whilst allowing interactions and encounters with other online learners, as well as affording access to a wide range of resources. They have the capability of reaching learners in remote areas around the country or across country boundaries at very low cost. Personalized VLEs are those VLEs that provide a set of personalization functionalities, such as personalizing learning plans, learning materials, tests, and are capable of initializing the interaction with learners by providing advice, necessary instant messages, etc., to online learners. One of the major challenges involved in developing personalized VLEs is to achieve effective personalization functionalities, such as personalized content management, learner model, learner plan and adaptive instant interaction. Autonomous intelligent agents provide an important technology for accomplishing personalization in VLEs. A number of agents work collaboratively to enable personalization by recognizing an individual''s eLearning pace and reacting correspondingly. In this research, a personalization model has been developed that demonstrates dynamic eLearning processes; secondly, this study proposes an architecture for PVLE by using intelligent decision-making agents'' autonomous, pre-active and proactive behaviors. A prototype system has been developed to demonstrate the implementation of this architecture. Furthermore, a field experiment has been conducted to investigate the performance of the prototype by comparing PVLE eLearning effectiveness with a non-personalized VLE. Data regarding participants'' final exam scores were collected and analyzed. The results indicate that intelligent agent technology can be employed to achieve personalization in VLEs, and as a consequence to improve eLearning effectiveness dramatically. [Copyright &y& Elsevier] Copyright of Decision Support Systems is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bsh&AN=22716303&site=ehost-live&scope=site"
"The healthy learner model for student chronic condition management--part I.","Erickson CD; Splett PL; Mullett SS; Heiman MB","The Journal of school nursing : the official publication of the National Association of School Nurses",="1546-8364",,="2006 Dec","22","6","310",,"17121441","10.1177/10598405060220060201","Sage Publications","Journal Article","United States; Chronic Disease nursing; School Health Services organization & administration; School Nursing organization & administration; Schools organization & administration; Students statistics & numerical data; Child; Chronic Disease epidemiology; Disabled Children statistics & numerical data; Efficiency, Organizational; Health Education organization & administration; Health Promotion methods; Humans; Models, Nursing; Nurse's Role; Nursing Assessment; United States epidemiology; Urban Population statistics & numerical data",,"A significant number of children have chronic health conditions that interfere with normal activities, including school attendance and active participation in the learning process. Management of students' chronic conditions is complex and requires an integrated system. Models to improve chronic disease management have been developed for the medical system and public health. Programs that address specific chronic disease management or coordinate school health services have been implemented in schools. Lacking is a comprehensive, integrated model that links schools, students, parents, health care, and other community providers. The Healthy Learner Model for chronic condition management identifies seven elements for creating, implementing, and sustaining an efficient and effective, comprehensive community-based system for improving the management of chronic conditions for school children. It has provided the framework for successful chronic condition management in an urban school district and is proposed for replication in other districts and communities.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=17121441&site=ehost-live&scope=site"
"International medical education and future directions: a global perspective.","Harden RM","Academic medicine : journal of the Association of American Medical Colleges",="1040-2446",,="2006 Dec","81","12 Suppl","S22",,"17086041","10.1097/01.ACM.0000243411.19573.58","Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins","Journal Article","Education, Medical trends; Foreign Medical Graduates standards; Global Health; International Cooperation; Models, Educational; Curriculum standards; Curriculum trends; Delivery of Health Care standards; Delivery of Health Care trends; Education, Medical standards; Faculty, Medical; Foreign Medical Graduates trends; Humans; International Educational Exchange; Schools, Medical; Students, Medical",,"Internationalization, one of the most important forces in higher education today, presents a powerful challenge and an opportunity for medical schools. Factors encouraging internationalization include (1) globalization of health care delivery, (2) governmental pressures, (3) improved communication channels, (4) development of a common vocabulary, (5) outcome-based education and standards, (6) staff development initiatives, and (7) competitiveness and commercialization. A three-dimensional model--based on the student (local or international), the teacher (local or international), and the curriculum (local, imported, or international)-offers a range of perspectives for international medical education. In the traditional approach to teaching and learning medicine, local students and local teachers use a local curriculum. In the international medical graduate or overseas student model, students from one country pursue in another country a curriculum taught and developed by teachers in the latter. In the branch-campus model, students, usually local, have an imported curriculum taught jointly by international and local teachers. The future of medical education, facilitated by the new learning technologies and pedagogies, lies in a move from such international interconnected approaches, which emphasize the mobility of students, teachers, and curriculum across the boundaries of two countries, to a transnational approach in which internationalization is integrated and embedded within a curriculum and involves collaboration between a number of schools in different countries. In this approach, the study of medicine is exemplified in the global context rather than the context of a single country. The International Virtual Medical School serves as an example in this regard.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=17086041&site=ehost-live&scope=site"
"Adaptive Learning by Using SCOs Metadata.","Milošević, Danijela; Brković, Mirjana; Debevc, Matjaž; Krneta, Radojka","Interdisciplinary Journal of Knowledge & Learning Objects",,,="2007","3",,"163","12","28097595",,"Informing Science","Article","LEARNING; ADAPTABILITY (Personality); MOTIVATION (Psychology); COGNITIVE styles; METADATA","adaptive learning environments; learner models; learning objects; learning styles; SCORM","This paper presents an adaptation scenario for tailoring instructional content towards individual learner characteristics taking into consideration his/her learning style type and subject matter motivation level. Learning resources are organized through shareable content objects (SCOs) -- a small digital chunks of knowledge, independent and self described pieces of instructional material delivered via Learning Management System (LMS). We use an ontology based student model for storing student information. The scenario of designing lesson content is presented as a cross section of learning style and motivation level, based on the learning object's educational metadata. Adaptation is made through discovering those SCO's whose educational category metadata implies that SCO is to be delivered for the learning style of user. Our future work will be to provide experiment and to test our proposed guidelines in order to get feedback on how learners see the adaptive learning environments tailored to their individual learning style and motivation characteristics. [ABSTRACT FROM AUTHOR] Copyright of Interdisciplinary Journal of Knowledge & Learning Objects is the property of Informing Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=28097595&site=ehost-live&scope=site"
"Increasing Student Mathematics Self-Efficacy Through Teacher Training.","Siegle, Del; McCoach, D. Betsy","Journal of Advanced Academics",="1932202X",,="Winter2007","18","2","278","35","25292679",,"Sage Publications Inc.","Article","Self-efficacy in students; Mathematical ability; Training of mathematics teachers; Teaching methods; Effective teaching",,"Teachers can modify their instructional strategies with minimal training and effort, and this can result in increases in their students' self-efficacy. Self-efficacy judgments are based on four sources of information: an individual's own past performance, vicarious experiences of observing the performances of others, verbal persuasion that one possesses certain capabilities, and physiological states. Individuals use these four sources of information to judge their capability to complete future tasks. Teachers who capitalize on the influence of the strongest of these sources-past performances, observations of others as models, and verbal persuasion-produce more confident students. The following instructional strategies increase student self-efficacy: • Reviewing lesson accomplishments from the previous day, posting the current lesson's objectives prior to instruction, drawing attention to the lesson objectives as they are covered, and reviewing the lesson objectives at the end of the lesson. • Asking students to record each day on a calendar something new they learned that day or something at which they excelled. • Prompting students who perform poorly to attribute their failures to lack of effort and encouraging them to try harder. • Drawing students' attention to their growth and complimenting them on their specific skills. • Using student models early to demonstrate some aspects of a lesson to remind them that other students like themselves are mastering the material and therefore they can master it also. Teachers who use these strategies on a daily basis produce students who are more confident in their academic skills. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=25292679&site=ehost-live&scope=site"
"AUTOMATIC STUDENT MODELLING FOR DETECTING LEARNING STYLE PREFERENCES IN LEARNING MANAGEMENT SYSTEMS.","Graf, Sabine; Viola, Silvia Rita; Kinshuk","Proceedings of the IADIS International Conference on Cognition & Exploratory Learning in Digital Age",,,="2007",,,"172","8","77650880",,"International Association for Development of the Information Society (IADIS)","Article","Cognitive styles; Internet in education; Students' conduct of life; Student attitudes; Questionnaires","Automatic Student Modelling; Felder-Silverman Learning Style Model; Learning Management Systems; Learning Styles","Providing adaptivity based on learning styles can support learners and make learning easier for them. However, for providing proper adaptivity, the learning styles of learners need to be known first. While most systems, which consider learning styles, use questionnaires in order to identify learning styles, we propose an automatic student modelling approach, which analyses the actual behaviour and actions of students during they are learning in an online course in order to infer students' learning styles. Such an automatic approach has the advantage that students do not have any additional effort for providing information about their learning styles. Additionally, an automatic approach can be more accurate by excluding extraordinary behaviour of students and adapting in the case that the learning styles changed over time. In this paper, we present an automatic student modelling approach for learning management system, which aims at identifying learning style preferences within the four dimensions of the Felder-Silverman learning style model (FSLSM). The approach is based on patterns derived from literature and a simple rule-based method for calculating learning styles from the students' behaviour. The proposed approach is evaluated by a study with 75 students, comparing the results of the learning style questionnaire with the results obtained by the proposed automatic student modelling approach. As a result, the approach is appropriate for identifying all learning style preferences within the active/reflective dimension of FSLSM and some learning style preferences within the sensing/intuitive and visual/verbal dimension. For the sequential/global dimension, results of learning style preferences show only moderate precision. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=77650880&site=ehost-live&scope=site"
"A Cognitive Strategies Approach to Reading and Writing Instruction for English Language Learners in Secondary School","Olson, Carol Booth; Land, Robert","Research in the Teaching of English",="0034527X",,="20070201","41","3","269",,"EJ776476",,,"Journal Articles","Teaching Methods; Second Language Learning; Writing Ability; Standardized Tests; Limited English Speaking; Integrity; English (Second Language); Learning Strategies; Secondary School Students; Language Arts; Teacher Expectations of Students; Cues; Writing Instruction; Reading Instruction; High Stakes Tests; Grade Point Average; California",,"This study was conducted by members of a site of the California Writing Project in partnership with a large, urban, low-SES school district where 93% of the students speak English as a second language and 69% are designated Limited English Proficient. Over an eight-year period, a relatively stable group of 55 secondary teachers engaged in ongoing professional development implemented a cognitive strategies approach to reading and writing instruction, making visible for approximately 2000 students per year the thinking tools experienced readers and writers access in the process of meaning construction. The purpose of the study was to assess the impact of this approach on the reading and writing abilities of English language learners (ELLs) in all 13 secondary schools in the district. Students receiving cognitive strategies instruction significantly out-gained peers on holistically scored assessments of academic writing for seven consecutive years. Treatment-group students also performed significantly better than control-group students on GPA, standardized tests, and high-stakes writing assessments. Findings reinforce the importance of having high expectations for ELLs; exposing them to a rigorous language arts curriculum;explicitly teaching, modeling and providing guided practice in a variety of strategies to help students read and write about challenging texts; and involving students as partners in a community of learners. What distinguishes the project is its integrity with respect to its fidelity to three core dimensions: Teachers and students were exposed to an extensive set of cognitive strategies and a wide array of curricular approaches to strategy use (comprehensiveness) in a manner designed to cultivate deep knowledge and application of those strategies in reading and writing (density) over an extended period of time (duration). The consistency of positive outcomes on multiple measures strongly points to the efficacy of using this approach with ELLs. Appended are: (1) Great Expectations Writing Prompt; and (2) Student Models. (Contains 1 note, 5 tables, and 6 figures.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ776476&site=ehost-live&scope=site"
"Bringing chatbots into education: Towards natural language negotiation of open learner models","Kerly, Alice; Hall, Phil; Bull, Susan","Knowledge-Based Systems",="09507051",,="Mar2007","20","2","177","9","24192708","10.1016/j.knosys.2006.11.014","Elsevier B.V.","Article","INTELLIGENT tutoring systems; EXPERT systems; EDUCATIONAL technology; COMPUTER assisted instruction; COMPUTERS in education; MATHEMATICAL models of learning; NATURAL language processing; ARTIFICIAL intelligence; HUMAN-computer interaction; OPEN learning; STOCHASTIC learning models","Chatbots; Conversational agents; Learner modelling; Natural language; Negotiation","There is an extensive body of work on Intelligent Tutoring Systems: computer environments for education, teaching and training that adapt to the needs of the individual learner. Work on personalisation and adaptivity has included research into allowing the student user to enhance the system's adaptivity by improving the accuracy of the underlying learner model. Open Learner Modelling, where the system's model of the user's knowledge is revealed to the user, has been proposed to support student reflection on their learning. Increased accuracy of the learner model can be obtained by the student and system jointly negotiating the learner model. We present the initial investigations into a system to allow people to negotiate the model of their understanding of a topic in natural language. This paper discusses the development and capabilities of both conversational agents (or chatbots) and Intelligent Tutoring Systems, in particular Open Learner Modelling. We describe a Wizard-of-Oz experiment to investigate the feasibility of using a chatbot to support negotiation, and conclude that a fusion of the two fields can lead to developing negotiation techniques for chatbots and the enhancement of the Open Learner Model. This technology, if successful, could have widespread application in schools, universities and other training scenarios. [Copyright &y& Elsevier] Copyright of Knowledge-Based Systems is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=24192708&site=ehost-live&scope=site"
"Adaptive testing for hierarchical student models.","Eduardo Guzmán; Ricardo Conejo; José-Luis Pérez-de-la-Cruz","User Modeling & User-Adapted Interaction",="09241868",,="Mar2007","17","1/2","119","39","24197029",,"Springer Nature","Article","Interactive computer systems; Distribution (Probability theory); Intelligent tutoring systems; Educational tests & measurements; Computer adaptive testing; Item response theory; Kernel functions",,"This paper presents an approach to student modeling in which knowledge is represented by means of probability distributions associated to a tree of concepts. A diagnosis procedure which uses adaptive testing is part of this approach. Adaptive tests provide well-founded and accurate diagnosis thanks to the underlying probabilistic theory, i.e., theItem Response Theory. Most adaptive testing proposals are based on dichotomous models, where he student answer can only be considered either correct or incorrect. In the work described here, a polytomous model has been used, i.e., answers can be given partial credits. Thus, models are more informative and diagnosis is more efficient. This paper also presents an algorithm for estimating question characteristic curves, which are necessary in order to apply the Item Response Theory to a given domain and hence must be inferred before testing begins. Most prior estimation procedures need huge sets of data. We have modified preexisting procedures in such a way that data requirements are significantly reduced. Finally, this paper presents the results of some controlled evaluations that have been carried out in order to analyze the feasibility and advantages of this approach. [ABSTRACT FROM AUTHOR] Copyright of User Modeling & User-Adapted Interaction is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=24197029&site=ehost-live&scope=site"
"A method for modelling adaptive interactions in Intelligent Tutoring Systems.","Frigo, Luciana B.; Cardoso, Janette; Bittencourt, Guilherme","International Journal of Continuing Engineering Education & Lifelong Learning",="15604624",,="2007","17","4/5","381","11","27219217","10.1504/IJCEELL.2007.015049","Inderscience Enterprises Ltd.","Article","Intelligent tutoring systems; Pedagogical content knowledge; Education; Educational planning; Individualized education programs; Petri nets","adaptive hypermedia systems; authoring tools; e-learning; intelligent tutoring systems; interaction modelling; object Petri nets; online learning; ontology; personalisation; user interaction; web-based education","The article discusses the proposed method to couple the domain, student and models in an Intelligent Tutoring System. It was said that the goal of the method is to produce a personalized version of the domain model with respect to the student model, without burdening the teacher with the task of specifying how personalization is to be done. It is stated That according to conditions that refer to the student model and feedback, the pedagogical model is defined through Object Petri Net.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=27219217&site=ehost-live&scope=site"
"Student profiles to improve searching in e-learning systems.","Licchelli, Oriana; Semeraro, Giovanni","International Journal of Continuing Engineering Education & Lifelong Learning",="15604624",,="2007","17","4/5","392","10","27219223","10.1504/IJCEELL.2007.015050","Inderscience Enterprises Ltd.","Article","Digital libraries; Machine learning; Information resources management; Information storage & retrieval systems; Curriculum; Europe","customised searches; digital libraries; e-learning; information retrieval; information searching; machine learning; online learning; student profiles; user preferences; web-based education","The article reports on the enormous quantity of information in Digital Libraries (DLs), which had been accumulated by European countries. It was said that students could use information in DLs for improving curricula. However, it was found that it is difficult to extract chunk materials that solves specific problems. Moreover, a system based on Machine Learning techniques, the Profile Extractor, which automatically builds student models is presented.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=27219223&site=ehost-live&scope=site"
"""Open Learner Models: Research Questions"" Special Issue of the IJAIED.","Bull, Susan; Dimitrova, Vania; McCalla, Gord","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2007","17","2","83","5","26096069",,"IOS Press","Article","Artificial intelligence; Prefaces & forewords",,"A preface for a 2007 issue of the ""International Journal of Artificial Intelligence in Education"" is presented.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=26096069&site=ehost-live&scope=site"
"Student Models that Invite the Learner In: The SMILI:() Open Learner Modelling Framework.","Bull, Susan; Kay, Judy","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2007","17","2","89","32","26096068",,"IOS Press","Article","Student-centered learning; Open learning; Students; Active learning; Adaptability (Personality)","framework for open learner modelling; Open learner model","In recent years, the learner models of some adaptive learning environments have been opened to the learners they represent. However, as yet there is no standard way of describing and analysing these 'open learner models'. This is, in part, due to the variety of issues that can be important or relevant in any particular learner model. The lack of a framework to discuss open learner models poses several difficulties: there is no systematic way to analyse and describe the open learner models of any one system; there is no systematic way to compare the features of open learner models in different systems; and the designers of each new adaptive learning system must repeatedly tread the same path of studying the many diverse uses and approaches of open learner modelling so that they might determine how to make use of open learner modelling in their system. We believe this is a serious barrier to the effective use of open learner models. This paper presents such a framework, and gives examples of its use to describe and compare adaptive educational systems. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=26096068&site=ehost-live&scope=site"
"Evaluating the Effect of Open Student Models on Self-Assessment.","Mitrovic, Antonija; Martin, Brent","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2007","17","2","121","24","26096067",,"IOS Press","Article","Open learning; Personality assessment; Intelligent tutoring systems; Cognitive ability; Students","constraint-based tutors; meta-cognitive skills; Open student models","This paper discusses the simple open student models used in two of our constraint-based tutors, SQL-Tutor and KERMIT, and their effects on self-assessment. The systems present a high-level abstraction of the detailed information contained in the student model, in terms of skill meters representing the student's progress on domain concepts. SQL-Tutor presents the open student model when the student requires it, or when selecting new problems. KERMIT, on the other hand, continuously displays a high-level summary of the student's progress, while more detailed information is available on request. Our results show that even simple open student models can have important positive effects on learning and students' meta-cognitive skills. Students appreciated having access to their models, and they felt this feature contributed to their understanding of the domain. Performance of less able students becomes significantly better than that of their peers of similar abilities without access to their models. We have also seen that open student models can help students learn to select better problems. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=26096067&site=ehost-live&scope=site"
"Active Open Learner Models as Animal Companions: Motivating Children to Learn through Interacting with My-Pet and Our-Pet.","Zhi-Hong Chen; Chih-Yueh Chou; Yi-Chan Deng; Tak-Wai Chan","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2007","17","2","145","23","26096066",,"IOS Press","Article","Open learning; Classroom environment; Elementary schools; Pets; Motivation (Psychology) in children","group learner model; learning companion; motivation; Open learner model; reflection","This pilot study reports how to portray open learner models as animal companions in order to motivate children to learn in the digital classroom environment. To meet two challenges of motivation and interactivity for open learner models, the concept of open learner models as animal companions is proposed based on the emotional attachment of humans towards pets. Animal companions adopt three strategies and play various educational roles to help children's learning in motivation, reflection and member interactions. A class of students is divided into several teams. A student keeps her own individual animal companion, called My-Pet, which holds the open learner model of the student, and each team has a team animal companion, called Our-Pet, which owns their open group learner model. A preliminary experiment is conducted in a fifth-grade class with 31 eleven year old students in an elementary school to collect initial feedback in cognitive and affective aspects. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=26096066&site=ehost-live&scope=site"
"Explicit Reflection in Prolog-Tutor.","Tchetagni, Josephine; Nkambou, Roger; Bourdeau, Jacqueline","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2007","17","2","169","47","26096065",,"IOS Press","Article","Intelligent tutoring systems; Open learning; Critical thinking; Computer assisted instruction; Logic programming","open learner modeling; Reflection; tutoring dialogues","This paper describes a reflection-based approach for open learner modeling (OLM). Tutoring dialogues are used by learners to explicitly reveal their own knowledge state to themselves. Dewey's theory of reflective thinking is used to create tutorial strategies which govern these dialogues. Drake's specification of critical thinking, associated to a defined set of skills, is used to define tutoring tactics implementing these strategies. The main contribution of this approach to OLM is that it provides a set of principled and reusable tutorial strategies and tactics to promote reflection, as they are based on domain independent theories. Furthermore, an evaluation of such a principled approach to OLM is straightforward in certain cases, as it refers to theories which already provide evaluation criteria. The approach is integrated in Prolog-Tutor, an existing intelligent tutoring system for Logic Programming. This paper presents a qualitative study of the resulting system, based on think-aloud protocols. A result analysis reveals that explicitly fostering reflection supports reflection based OLM and provides landmarks to explain its manifestations. However, the results also suggest that this openness may be less helpful when used by learners who have already honed a high level of proficiency in logic programming. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=26096065&site=ehost-live&scope=site"
"Learner Personas in CALL","Heift, Trude","CALICO Journal",="07427778",,="20070901","25","1","1",,"EJ809388",,,"Journal Articles","Feedback (Response); Computer Assisted Instruction; Educational Technology; Language Processing; Learning Experience; Individualized Instruction; Natural Language Processing; Second Language Learning; Second Language Instruction; Educational History",,"In examining the titles of this year's conference presentations, the author noticed quite a few papers that focus on learner-specific issues, for instance, papers that address learning styles, learner needs, personality and learning, learner modeling and, more generally, pedagogical issues that deal with individual learner differences in computer-assisted language learning (CALL). Over the past few years, her research has frequently returned to the notion of individualized instruction, or ""adaptive"" CALL, whether in terms of learner feedback or, more generally, natural language processing (NLP) and learner modeling. For this reason, she would like to focus on adaptive CALL and the concept of learner personas. The author takes a very brief look at the historical development of individualized instruction considering its goals and development over time. She then illustrates how the concept of learner personas could possibly contribute and eventually result in a more individualized learning experience. (Contains 4 figures.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ809388&site=ehost-live&scope=site"
"Adaptive Courseware Generation of a Web-Based Tutorial System.","Aguilar, Gabriela; Kaijiri, Kenji","International Journal of Instructional Media",="00921815",,="2007","34","3","293","7","507951984",,"Westwood Press Inc.","Article","Individualized instruction; Intelligent tutoring systems","C (Computer language) -- Teaching","We propose an adaptive courseware generation of a Web-based C# Tutorial System. The novel points in this paper are how to teach C# for each learning style and intelligence types and how these factors can be included in the generation of adaptive.courseware. Furthermore, the system will analyze the learner's habits and the student model will be updated according to the learner's changing goals, needs and preferences. Reprinted by permission of the publisher.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=507951984&site=ehost-live&scope=site"
