"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISBN","ISSN","ISSN (alt.)","URLs","Abstract","Keywords","Series"
"Journal Article","Sun J,Du S,Liu Z,Yu F,Liu S,Li Q,Shen X","","IEEE Transactions on Consumer Electronics","2023","","","1-1 - 1 - 1","","","2023-01-01","","1558-4127","0098-3063","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85164734823&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Contrastive learning, Data mining, Deep learning, Electronic learning, Heterogeneous graph, Hidden Markov models, Knowledge engineering, Knowledge tracing, Personalized e-learning systems, Sun, Task analysis",""
"Journal Article","Xia Z,Dong N,Wu J,Ma C","","IEEE Transactions on Learning Technologies","2023","","","1-12 - 1 - 12","","","2023-01-01","","1939-1382","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85166775588&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Data mining, Data models, Educational data mining, Feature extraction, graph neural network, Graph neural networks, knowledge concept, Knowledge engineering, knowledge tracing, Predictive models, Trajectory",""
"Journal Article","Zhao W,Xia J,Jiang X,He T","","Information Processing and Management","2023","60","1","","","","2023-01-01","","0306-4573","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85140798991&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Deep knowledge tracing, Forgetting and learning mechanisms, Intelligent education",""
"Journal Article","Hibbi FZ,Abdoun O,Haimoudi EK","","International Journal of Advanced Computer Science and Applications","2023","14","8","597-603 - 597 - 603","","","2023-01-01","","2156-5570","2158-107X","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85170645717&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","adaptive learning activities, genetic algorithm, Intelligent tutoring system, learner model",""
"Journal Article","Wang S,Wu J,Sha J,Zhang H,Huang Z,Liu Q","","Jisuanji Yanjiu yu Fazhan/Computer Research and Development","2023","60","8","1822-1833 - 1822 - 1833","","","2023-01-01","","1000-1239","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85169536917&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","data mining, deep learning, intelligent education, knowledge tracing, student knowledge portrait",""
"Journal Article","Zhang Y,Pinto JD,Fan AX,Paquette L","Using Problem Similarity-and Order-Based Weighting to Model Learner Performance in Introductory Computer Science Problems","Journal of Educational Data Mining","2023","15","1","63-99","","","2023-01-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1383391&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The second CSEDM data challenge aimed at finding innovative methods to use students' programming traces to model their learning. The main challenge of this task is how to decide which past problems are relevant for predicting performance on a future problem. This paper proposes a set of weighting schemes to address this challenge. Specifically, students' behaviors and performance on past problems were weighted in predicting performance on future problems. The weight of a past problem was proportional to its similarity with the future problem. Problem similarity was quantified in terms of source code, problem prompts, and struggling patterns. In addition, we considered another weighting scheme where past problems were weighted by the order in which students attempted them. Prior studies have used problem similarity and order information in learner modeling, but the proposed weighting schemes are more flexible in capturing problem similarity on various problem properties and weighting various behaviors and performance information on past problems. We systematically investigate the utility of the weighting schemes on performance prediction through two analyses. The first analysis found that the weighting schemes based on source code similarity, struggling pattern similarity, and problem order improved the prediction performance, but the weighting scheme based on problem prompts did not. The second analysis found that the weighting scheme allows a simple and interpretable model, such as logistic regression, to have performance comparable to state-of-the-art deep-learning models. We discussed the implications of the weighting schemes for learner modeling and suggested directions for further improvement.","Problem Solving; Introductory Courses; Computer Science Education; Programming; Models; Prediction; Performance; Decision Making; Regression (Statistics); Measurement Techniques",""
"Journal Article","Roy DN,Azam MS,Islam E","","PLoS ONE","2023","18","4","","","","2023-01-01","","1932-6203","","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.3cb7e243676d4c3f85877937cca07ac0&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Background and aims Vaccination is the most powerful public health intervention proven to be safe and effective in the battle against the coronavirus disease-2019 (COVID-19) pandemic. Despite the potential therapeutic benefits of primer vaccine dosage regimens, public perceptions of COVID-19 vaccine booster dose (VBD) acceptance and hesitancy vary among various sub-group populations. This study investigates COVID-19 vaccine booster dose acceptance and compares the multi-dimensional potential factors influencing VBD acceptance and hesitancy among university teachers and the student community in Bangladesh. Methods This web-based cross-sectional study employed an anonymous, validated, and self-administered questionnaire. The questionnaire items were adopted from a theoretical analysis of the recent relevant literature. The questionnaire was deployed in an on-line-enabled format (Google form) and conveniently distributed to 685 teachers and 990 students between 15th June, 2022 and 15th August, 2022 which resulted in the participation of 1250 (505 teachers vs.745 students) total respondents (response rate 73.72% vs. 75.25%) from various universities in Bangladesh. A non-parametric analytical tool (binary logistic regression) was applied to rationalize the study objectives and a Chi-squared test was performed to estimate the booster- hesitant risky group. Results The pooled COVID-19 vaccine booster dose acceptance rates were 84.6% (95% CI 81.5─87.7) and 67.2% (95% CI 63.8─70.6) for teachers and students in the university academic community, respectively. In employing a binary logistic regression, this study revealed that out of twelve (12)multi-dimensional key predictors, “equal safety”, “risk-benefit ratio”, and “variant control” had a significant positive association with VBD acceptance in both sets (p = 0.000, p = 0.000, and p = 0.005, respectively). Varied effects were found for several predictors; post-vaccination “side effects” had a significant negative association (p = 0.020) and “community protection” had significant positive association (p = 0.034) with vaccine booster dose acceptance in the teachers community while these variables were insignificant in the students cohort. “Trust” had a highly significant positive association (p = 0.000);“communication” and “academic attainment” had significant positive associations (p = 0.033 and 0.024, respectively) with VBD acceptance in the students cohort, while these predictors were insignificant in the teachers community. Women were more likely to receive a third dose of the vaccine (OR = 1.4 vs. 0.9 between teacher and student model); however, no significant association between gender and booster vaccine acceptance was found in a comparative Chi-squared model. Therefore, statistically, the booster vaccine-hesitant risky group was not found to implicate the massive booster vaccine drive among the university academic community. Conclusions COVID-19 booster vaccine acceptability among the student cohort was slightly lower than pre-roll-out intent. The teacher community was more inclined to get booster vaccinated. Moreover, differences were found between the multi-dimensional potential factors associated with VBD acceptance among teachers and students in university settings. This study explicitly confirmed positive attitudes toward the safety, health benefits, and variants control of the COVID-19 VBD under any circumstances. Post-vaccination side effect concern was found to be a barrier to administering booster shots and a reason for booster skepticism. Tailored communication and health education interventions need to be adopted to improve the public awareness of booster vaccine consequences, and limit booster skepticism.","Medicine, Science",""
"Journal Article","Ritz E","GETTING INTO FLOW!? ENHANCE FLOW-LIKE EXPERIENCES AND LEARNING PERFORMANCE THROUGH PERSONALIZED LEARNING ACTIVITIES","Proceedings of the European Conference on Information Systems (ECIS)","2023","","","1-12","","","2023-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=169722744&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Although intelligent learning systems provide new opportunities for personalizing learning activities, important design questions remain. To unleash the full impact of such systems, it is vital to examine how the use of Bayesian knowledge tracing can provide learners personalized learning activities and shape their flow experience, performance, and continuity intention. Further, this study explores the moderating role of a growth mindset on the relation between learning task adaptation and flow experience. I rely on electroencephalography to increase the internal validity of flow measurements. The study builds on Flow Theory and aims to empirically unveil the influence of an intelligent personalization of learning processes. The next step will be an experiment with 80 participants following the developed experimental design to evaluate flow experiences in intelligent learning systems. The results of this experiment aim to guide educational designers with prescriptive knowledge on how )","DESIGN research, BAYESIAN analysis, FLOW theory (Psychology), EXPERIMENTAL design, ELECTROENCEPHALOGRAPHY, flow experience, intelligent learning systems, knowledge tracing, personalized learning",""
"Journal Article","Sjøberg M,Furberg A,Knain E","Undergraduate Biology Students' Model-Based Reasoning in the Laboratory: Exploring the Role of Drawings, Talk, and Gestures","Science Education","2023","107","1","124-148","","","2023-01-01","","0036-8326","","https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1358280&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","This paper reports on a case study of undergraduate biology students' drawing-based modeling and how this process plays out in naturalistic dialogues. Recent research has revealed the importance of drawings, talk, and gestures in students' model-based reasoning. This study provides further insight into the complementary role of these multimodal representations in student' model-based reasoning. The empirical basis constitutes sequences of students' interactive modeling during a laboratory exercise targeted toward the molecular mechanism behind diagnostic tests. The analytical procedure involves a social-semiotic analysis of students' drawings and microanalyses of the sequences of student interaction while engaging with this modeling activity. Our findings reveal a pattern in the use of these representations and provide insights into their roles in students' model-based reasoning. During three critical episodes in the students' modeling process, we show how drawings, deictic gestures, talk, and iconic gestures in a recurring pattern contributed to bringing students' meaning-making forward: drawings contributed to opening a creative space for their reasoning, while explorative talk together with iconic gestures became an important resource in exploring the aspects that were not shown in the drawing. We also show how the different representations took on different semiotic loads depending on where in the modeling cycle they were. We show how certain semiotic choices in the first drawing seem to support the students' model-based reasoning. Representing gestures became particularly important when the students revised and extended their models. These findings are discussed in relation to the different affordances of the various modes of representation.","Undergraduate Students; Biology; Dialogs (Language); Freehand Drawing; Nonverbal Communication; Thinking Skills; Modeling (Psychology); Semiotics; Abstract Reasoning; Interaction",""
"Journal Article","Quandeng G","DEVELOPMENT OF A DIGITAL EDUCATIONAL ENVIRONMENT IN CHINA","Scientific Journal of Polonia University","2023","56","1","40-46","","","2023-01","","1895-9911","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=164142540&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Current model design research in the field of personalized learning mainly includes three categories: personalized learner model, personalized learning resource recommendation model, and personalized learning path model. The development of a personalized student model mainly depends on the basic information of the student, his interests and preferences, learning style, behavioral characteristics, etc.; and all learner information and data are also used to develop and implement a personalized learning resource recommendation model and an individualized learning path model Essential framework. The learner model is developed through an in-depth analysis of the learner's main attributes, learning process and learning outcomes, and on this basis, a model of the learning path that fits the learner is planned and personalized learning resources are presented. Among the various developed models, the student model occupies the largest share. In the study of personalized learning, different mod)","ONLINE education, SCHOOL environment, EDUCATIONAL planning, EDUCATIONAL outcomes, STUDENT development, CHINA, high-quality development, learning process, student model",""
"Journal Article","/ Park Nayeon 박나연,/ Lee Sangmin 이상민","","Multimedia-Assisted Language Learning","2022","25","4","222","","","2022-12-31","","1229-8107","","https://search.ebscohost.com/login.aspx?direct=true&db=edskis&AN=edskis.3995805&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","In recent years, with the rapid development of technologies, utilization and adaptation of diverse technologies into education has drawn attention from many researchers and practitioners. Particularly, artificial intelligence and machine learning have great potential to provide tools such as customized adaptive and personalized learning for individual students, which can aid in providing high-quality learning experiences. With the joint advancement of machine learning and artificial intelligence, Deep Knowledge Tracing (DKT) artificial intelligence models have been utilized in education. The key of DKT is to monitor and estimate students’ evolving knowledge state, accurately predict their future performance on future exercises, and ultimately maximize learning efficiency. The current study developed a DKT model with a new parameter, spacing effect, in order to increase the accuracy of the model. It also considered a sentence-level variable as well as word-level variable in spacing effect to further increase accuracy. The newly developed model, SEDKT, was tested using learner trace big data released by Duolingo. The results showed that the accuracy of SEDKT was 0.720 AUC (Areas Under the ROC Curve) and indicated that the accuracy increased compared to the previous DKT models. Based on the results, this study provided suggestions and directions for the future in this area.","artificial intelligence, machine learning, deep knowledge tracing, English education",""
"Journal Article","Song X,Li J,Liu C,Cai T,Yang S,Yang T","","Knowledge-Based Systems","2022","258","","","","","2022-12-22","","0950-7051","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85140986276&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Deep learning, Educational data mining, Graph neural network, Intelligent tutoring systems, Knowledge Tracing",""
"Journal Article","Kulik AS,Chukhray AG,Havrylenko OV","","System Research and Information Technologies","2022","2022","4","27-41 - 27 - 41","","","2022-12-22","","2308-8893","1681-6048","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85124219117&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Algorithmic tasks, Bayesian networks, Diagnostic models, Intelligent tutor system, Student model",""
"Journal Article","Lowe C,Roter DL","Genetic counseling students' use of patient-centered communication skills predicts standardized patient satisfaction during virtual simulated sessions","Journal of genetic counseling","2022","","","","","","2022","","1573-3599","","https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=36537339&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Communication is essential to effective genetic counseling, but few studies have systematically evaluated methods of assessing communication skills among genetic counseling trainees. The study's objective is to compare the strength of associations between standardized patient (SP) satisfaction with simulated genetic counseling sessions and student skill use during the sessions, as reported by SPs and students. We hypothesized that (1) Both SP- and student-reported skill use will be significantly associated with SP satisfaction ratings during the baseline simulation and (2): SP ratings of student skill use will show a stronger relationship to SP satisfaction than student self-rating of skill use. Sixty genetic counseling students and recent graduates (referred to as ""students"") from accredited U.S. and Canadian programs participated in the study and completed a baseline virtual-simulated genetic counseling session. Both students and SPs completed post-session questionnaires about communication skill use (a 22-item checklist) and SPs completed a satisfaction questionnaire based on the session (a 14-item Likert scale). Multilevel regression models assessed associations between SP satisfaction during the baseline session and SP- or student-reported skill use. SP satisfaction was significantly associated with skill use reported by both SPs and students, but the model based on SP report explained a higher proportion of the variance in SP satisfaction than student-reported skill use (SP model fixed effects R 2 = 27%, adjusted R 2 = 21%; vs. student model R 2 = 7%, adjusted R 2 = -2%). For both the SP and student models, use of more skills from the LISTEN domain (which focused on eliciting the patient's perspective) was associated with higher SP satisfaction, while other skill category domains were not. These findings support the SP satisfaction measure as sensitive to variation in student performance of key communication skills, especially those eliciting the patient's perspective. Moreover, SP assessment of session satisfaction can be a useful assessment of student communication performance and a meaningful proxy for actual patient satisfaction. (© 2022 National Society of Genetic Counselors.)","assessment, communication, education, genetic counseling, patient-provider communication, simulated genetic counseling sessions, simulated patient satisfaction",""
"Miscellaneous","Zhao S,Wang C,Sahebi S","","","2022","","","","IEEE","","2022-12-17","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10020617&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Accurate modeling of student knowledge is essential for large-scale online learning systems that are increasingly used for student training. Knowledge tracing aims to model student knowledge state given the student’s sequence of learning activities. Modern Knowledge tracing (KT) is usually formulated as a supervised sequence learning problem to predict students’ future practice performance according to their past observed practice scores by summarizing student knowledge state as a set of evolving hidden variables. Because of this formulation, many current KT solutions are not fit f or modeling student learning from non-assessed learning activities with no explicit feedback or score observation (e.g., watching video lectures that are not graded). Additionally, these models cannot explicitly represent the dynamics of knowledge transfer among different learning activities, particularly between the assessed (e.g., quizzes) and non-assessed (e.g., video lectures) learning activities. In this paper, we propose Transition-Aware Multi-activity Knowledge Tracing (TAMKOT), which models knowledge transfer between learning materials, in addition to student knowledge, when students transition between and within assessed and non-assessed learning materials. TAMKOT is formulated as a deep recurrent multi-activity learning model that explicitly learns knowledge transfer by activating and learning a set of knowledge transfer matrices, one for each transition type between student activities. Accordingly, our model allows for representing each material type in a different yet transferrable latent space while maintaining student knowledge in a shared space. We evaluate our model on three real-world publicly available datasets and demonstrate TAMKOT’s capability in predicting student performance and modeling knowledge transfer.","",""
"Miscellaneous","Zhang Y,Wang Z,Yu T,Lu M,Ren Z,Zhang J","","","2022","","","","IEEE","","2022-12-17","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10020547&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The advancement of science and technology provides the possibility of personalized intelligent education. Representation learning of students’ behavior data is challenging because whether time sequences and interactive behaviors or the correlation between knowledge points and students carrying important information. Some researchers propose knowledge tracing to provide ideas for solving this dilemma. However, existing knowledge tracing methods are divided into machine learning and deep learning. Machine learning-based methods require manual feature extraction and a large amount of prior knowledge. Although deep learning-based methods can automatically extract features, most methods either only use the time series information of the data, or use the association between knowledge points. All the methods ignore the association between knowledge points and students. To fill this gap, we propose a Gated Heterogeneous Graph Convolutional Network (GHGCN) model. We utilize the encoder-decoder framework to predict student performance using the representations of nodes, which is learned from heterogeneous convolutional networks and gate recurrent unit. To validate the effectiveness of the proposed GHGCN model, we conduct the experiments on three public datasets: Simulated Data, Assistments 2009, and Assistments 2015. The results indicate that our method can achieve better performance compared with state-of-the-art algorithms.","",""
"Journal Article","Zhang K,Qin Z,Kuang Y","Knowledge Tracing via Attention Enhanced Encoder-Decoder","Computational Intelligence & Neuroscience","2022","","","1-12","","","2022","","1687-5265","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=160843056&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The knowledge tracing model takes students' learning behaviours data as input to determine their current knowledge status and predict their future answers. The learning behaviours data describes three main types of learning behaviours: learning process, learning end, and learning interval. The classical knowledge tracing models only use the data of the learning end, which contains limited information and the models cannot accurately describe constraint in the same learning behaviour in the time series. Subsequent models add other types of learning behaviours data but do not integrate different types of learning behaviours, and the models cannot accurately describe collaboration in different learning behaviours. To address these issues, knowledge tracing via attention-enhanced encoder-decoder is proposed to synthesize and analyse the three types of learning behaviours mentioned above and firstly adopts the multiheaded attention mechanism to describe constraint in the same learning beha)","INTELLIGENT tutoring systems, KNOWLEDGE representation (Information theory), STOCHASTIC learning models, INFORMATION modeling, TIME series analysis, LEARNING, CHANNEL coding",""
"Miscellaneous","Jin S,Zhao Y,Peng J,Chen N,Xue R,Liang M,Jiang Y","","","2022","","","","IEEE","","2022-12-16","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10006062&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","How to provide students with personalized guidance and personalized teaching is a key concern in the field of education. Knowledge tracing can analyze students' exercise records, trace students' learning situations in real-time, obtain students' knowledge mastery, predict students' future performance, and provide a new way to teach students in accordance with their aptitude. Aiming at the problem that the traditional model loses information under long sequence data, this paper uses GRU neural network combined with attention mechanism to realize deep knowledge tracing model, which improves the sensitivity of the model to long sequence data, strengthens the influence of historical knowledge state on future answer performance, and improves the prediction accuracy of knowledge mastery. The experiment has achieved good results in public datasets.","",""
"Miscellaneous","Arguson A,Malasaga E,San Pablo MF,Paculanan R,Ambat S,Habal BG","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10109576&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Computer programming is one of the fundamental skills in the field of computing [1]. In a computing class, students are expected to learn the skills rather than remembering materials only. This study aims to develop a constraint-based student model (CBM) by analyzing the computing students' C compilation error logs. The proposed modified CBM will be used as input to develop a user behavior of an ongoing study for an intelligent tutoring system. The prototype was developed to obtain compilation error logs from the selected students, it contains five (5) C programming questions that focus on assignment statements. The prototype of the study was pilot tested on two (2) online programming classes with a total of thirty-one (31) freshman college students composed of nine (9) BSCS and twenty-two (22) BSIT participants with a mean age of 18.68, where nineteen (19) or 61.3% are males and twelve (12) or 38.7% are females. The study uses convenience sampling to determine the total number of student participants. The dataset was extracted from the prototype and feature identification was performed on one thousand thirteen (1013) C programming logs which resulted to obtain eight (8) error types. The paper of Khodeir, Wanas, & Elazhary (2018) [2] and Karaci (2018) [3] on constraint-based modeling was reviewed to develop a proposed constraint-based model in the context of C programming focusing on assignment statements. By mapping a student error on the suggested constraint relevance (Cr) and constraint satisfaction, the database for constraints was finished (Cs).","",""
"Miscellaneous","Liu H,Peng W,Qi C","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10086177&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Knowledge Tracing (KT) aims to trace students’ knowledge state and predict their performance on questions in online tutoring system. For the moment, most methods assume that all questions are equal to every student, that is to say, question itself has not any effect on students’ knowledge state. And they have not considered the effect of question difficulty (QD) on students’ knowledge state. To address this issue, some researchers have worked on the effect of question difficulty on students’ knowledge state. But, they have not considered the effect of question difficulty and knowledge concept difficulty (KCD) on students’ knowledge acquisition ability and knowledge state. In this paper, we propose a novel model called Question Difficulty Estimation Knowledge Tracing (QDEKT) model, which comprehensively considers question difficulty and knowledge concept difficulty and introduces students’ real response and predicted response on questions into the model, to evaluate students’ knowledge acquisition ability and dynamically update students’ knowledge state. Finally, extensive experiments show the effectiveness of our model.","",""
"Miscellaneous","Carlon MK,Moon S,Okazaki N,Cross JS","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10148324&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","One commonly researched adaptive learning method, knowledge tracing, supposes that a learner answering an exercise correctly does not immediately imply that they have mastered the associated knowledge component, and vice-versa for answering incorrectly. Alternative explanations to learner performance such as guesses and slips reduce the accuracy of assessment items in determining learning achievement. One possible contributor to the learner’s tendency to make guesses or commit slips is the unnecessary complexity of a problem. In this paper, the potential usefulness of complexity hints in predicting mastery of algebra problems is explored. Natural language processing methods were used to derive a complexity estimate of each assessment problem and applied to estimate guess and slip probabilities using individualized neural network models. An added important advantage of complexity estimation over previous methods for knowledge tracing is its potential contribution to assessment design by revealing which problems tend to be more confounding than helpful to learner progress. This potentially may lead to new lines of research in natural language processing applications, knowledge tracing, and curriculum quality assurance.","",""
"Miscellaneous","Jiang X,Ouyang Y,Liu Z,Rong W,Xiong Z","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10148262&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","As an effective and emerging component of intelligent education, Knowledge Tracing(KT) achieves the combination of artificial intelligence and individualized learning, whose aim is to assess students’ mastery of knowledge concepts and assist in developing learning plans. Several existing KT models either use concepts sequence as input and evaluate students’ knowledge state or treat exercise as input to predict students’ future performance. In this paper, we introduce a constraint factor to extract concepts’ and exercises’ relation matrix, design three methods in representation learning, and propose a Multichannel Attention Networks based KT model(MAKT). Specifically, we restrict the co-occurrence relationship within a time window to extract the relation matrix and then train their representations via graph generative learning, graph contrastive learning, and matrix decomposition, respectively. In MAKT, a sliding window is implemented by multichannel where input sequence is sequentially lagged in turn by one position and attention mechanism is applied. We conduct experiments on several benchmark datasets and demonstrate that MAKT with concepts’ and exercises’ representation trained by matrix decomposition outperforms state-of-the-art models.","",""
"Miscellaneous","Shi S,Luo W,Tse R,Pau G","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10148516&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Knowledge tracing plays a vital role in measuring students’ learning behaviors. In this paper, we propose a novel ensemble model: Attention-LGBM-BiLSTM for knowledge tracing. We utilize the attention mechanism combined with LGBM (Light Gradient Boosting Machine) to obtain a feature of the most importance. Combined with the first-round outputs of LGBM, it is imported into BiLSTM (Bidirectional Long Short-Term Memory), thus obtaining the final classification results. We implement and evaluate the model based on the largest open-source dataset, EdNet, in education area. The results show that the accuracy, AUC, and Fl-score of the model are higher than its baselines. An ablation test is also conducted to prove its effectiveness.","",""
"Miscellaneous","Thohiroh EL,Nurjanah D","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10148320&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Open Social Learner Model (OSLM) is a kind of learning models in the field of personalized learning systems. While in traditional personalization systems, student models representing the students’ current states of knowledge are hidden from students and used solely to personalize the educational process, OSLM gives students an opportunity to view, explore, compare peers, and even correct their own knowledge states. In this paper, we propose SmartMe, which is an online learning system for university-level programming algorithm courses, where students can practice exercises to improve their algorithm skills. The questions are presented in the form of multiple-choice questions, which each question links one or more targeted skills. There are two main modules in SmartMe, which are OSLM and case example recommender. The recommender aimed to find case examples based on their similarities with questions and student models. For this study, we applied a cosine similarity algorithm and webbing matrix. To measure the usability of the OSLM and case example recommender, both modules were evaluated by experts and students. The results show that 80.58% of participants found that the combination of OSLM and the case example recommender is useful. Furthermore, the suitability between the recommended case examples and the exercises was 85.86%, based on the expert review.","",""
"Miscellaneous","Zeng Y,Jin T,Dou L","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10189457&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Predicting students’ performance in future learning activities is an important task in online education systems. It enables education researchers to understand students’ learning profiles and provide them with personalized teaching services based on this knowledge. Most existing knowledge tracing methods do not adequately model the difficulty of the exercise and instead model exercise information, student ability, and knowledge state features while ignoring their characteristics. To address these challenges, we propose a difficulty-aware CNN-based knowledge tracing model that extracts several factors effective in modeling exercise difficulty and models changes in students’ knowledge states and abilities at a microscopic level. Our model can simulate students’ learning processes more realistically and performs well on real-world datasets.","",""
"Miscellaneous","Hadyaoui A,Cheniti-Belcadhi L","","","2022","","","","IEEE","","2022-12-01","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10017682&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Assessment is a critical component of any teaching-learning process. It is the only way to gain a better understanding of the knowledge and abilities of the learners, especially in a collaborative learning environment. The learner must pay special attention to interactions and real-world context when selecting collaborative situations and activities. As a result, it is critical to ensure that assessment methods and techniques are adapted so that the learning process is better suited to each group of learners, with their unique learning style, background, needs, previous experiences, and most importantly, context. This paper addressed two major issues in the development of a personalized formative assessment system that will be used to assess the knowledge, skills, and competencies of individual and group learners in an online collaborative learning environment. One approach is to design an adaptive assessment path that helps learners achieve specific learning goals based on previous learner performance, level, and context. The other is to make a personalized recommendation using a Context-Aware Recommender System (CARS), which monitors group formation while performing collaborative assessment activities. To formalize and well define our proposed system, we suggest a semantic web approach using ontologies and eLearning standards, CMI5 to describe the proposed assessment path, and IEEE PAPI for the learner model, all of which allow data reusability and interoperability.","",""
"Journal Article","Bernard J,Popescu E,Graf S","","Applied Soft Computing","2022","131","","","","","2022-12-01","","1568-4946","","https://search.ebscohost.com/login.aspx?direct=true&db=edselc&AN=edselc.2-52.0-85142180350&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","","Ant colony systems, Artificial neural networks, Hybrid intelligent systems, Learner model, Learning management systems, Learning styles",""
"Journal Article","He Y,Wang H,Pan Y,Zhou Y,Sun G","","CCF Transactions on Pervasive Computing and Interaction","2022","4","4","452-464","","","2022-12-01","","2524-521X","2524-5228","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.C77A737F&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","With the development of technology, the teaching environment has changed greatly. As an educational resource, exercise plays an important role in students’ personalized learning service. Therefore, how to recommend appropriate exercises to students is a key problem to be solved urgently. The exercise recommendation method analyses students’ history answer sequences and provides personalized exercise recommendation service for students. Previous exercise recommendation methods assume that students’ knowledge states are fixed, so these methods cannot recommend exercise according to the changes of student ability. In addition, the existing methods do not take concept prerequisite relations into consideration. In this paper, we propose Exercise Recommendation method based on Knowledge Tracing and Concept Prerequisite relations (ER-KTCP). Firstly, ER-KTCP can capture the changes of students’ knowledge states. Secondly, ER-KTCP can adjust the details of recommendation strategy according to the changes of students’ knowledge states. Thirdly, ER-KTCP recommends exercises according to the relations between concepts and the difficulty of exercises, which makes selected exercises more reasonable. Besides, we propose a new metric to evaluate the improvement of student’s score after he has done the recommended exercises. Experiments on multiple data sets show that ER-KTCP performs better in exercise recommendation than state-of-the-art methods.","Exercise recommendation, Knowledge states, Knowledge tracing, Concept prerequisite relations, Personalized recommendation",""
